schema_version,timestamp_ms,session_id,config_id,vesc_vin_V,vesc_battery_A,vesc_motor_A,vesc_duty,vesc_erpm,vesc_mosfet_C,vesc_motor_or_safety_ntc_C,pack1_C,pack2_C,pack3_C,pack4_C,pack5_C,pack6_C,enclosure_C,water_adc,water_alarm,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,amp_hours,watt_hours,fault_code,remote_ok,sd_ok,gps_lat,gps_lon,gps_speed_mps,gps_course_deg,gps_fix_quality,sim_state,scenario
1.0.0,1200,2026-08-14-001,FOIL_002,49.992430,0.144201,0.180251,0.075544,4596.007618,24.007324,23.000045,22.107454,21.976292,21.936388,22.085087,22.052420,22.039648,22.000024,3876.977460,False,0.064820,-0.229803,0.985200,9.410547,-8.042287,9.775068,0.000057,0.002867,0,True,True,40.552403,-105.162797,0.661286,35.254109,2,IDLE,Pack 4 thermal anomaly
1.0.0,1300,2026-08-14-001,FOIL_002,49.991560,0.160816,0.201020,0.000000,57.363712,24.008163,23.000049,22.026410,21.970325,21.962800,22.050405,21.875731,22.148020,22.000026,3860.925304,False,-0.201608,-0.109993,1.469407,13.419344,3.256437,6.031986,0.000062,0.003090,0,True,True,40.552403,-105.162797,0.000000,35.275283,2,IDLE,Pack 4 thermal anomaly
1.0.0,1400,2026-08-14-001,FOIL_002,49.992147,0.149479,0.186849,0.016416,-50.386334,24.007605,23.000052,22.168900,22.038956,22.043742,21.941917,21.963183,21.927930,22.000028,3850.520056,False,0.098605,-0.141598,0.938668,33.493091,13.227363,-21.904636,0.000066,0.003298,0,True,True,40.552403,-105.162797,0.000000,35.296457,2,IDLE,Pack 4 thermal anomaly
1.0.0,1500,2026-08-14-001,FOIL_002,49.991394,0.163847,0.204809,0.000000,142.321117,24.008332,23.000056,22.053759,21.915213,22.059869,22.035303,22.017410,22.100768,22.000030,3819.316594,False,-0.051538,0.051826,1.031300,-12.033997,-41.434036,3.689377,0.000071,0.003525,0,True,True,40.552403,-105.162797,0.036522,35.317631,2,IDLE,Pack 4 thermal anomaly
1.0.0,1600,2026-08-14-001,FOIL_002,49.992290,0.146606,0.183257,0.028423,1450.449145,24.007478,23.000059,22.053468,22.008982,21.956997,22.116878,21.926137,21.943911,22.000031,3866.122843,False,0.217011,-0.337307,1.209933,23.132686,-9.496494,-16.204741,0.000075,0.003729,0,True,True,40.552403,-105.162797,0.191002,35.338804,2,IDLE,Pack 4 thermal anomaly
1.0.0,1700,2026-08-14-001,FOIL_002,49.992577,0.141033,0.176291,0.037332,1271.293319,24.007208,23.000062,21.912213,21.982084,22.002222,22.118404,21.874772,22.101636,22.000033,3854.781648,False,0.075092,-0.201938,1.237117,58.099615,-17.355735,-11.116451,0.000079,0.003924,0,True,True,40.552403,-105.162797,0.183905,35.359976,2,IDLE,Pack 4 thermal anomaly
1.0.0,1800,2026-08-14-001,FOIL_002,49.991884,0.154252,0.192816,0.000000,-112.080993,24.007877,23.000065,22.040261,21.970109,22.036197,21.998809,22.091307,21.843101,22.000035,3895.938304,False,-0.225875,-0.421256,1.323455,-15.331128,-6.709713,-6.243991,0.000083,0.004139,0,True,True,40.552403,-105.162797,0.012686,35.381148,2,IDLE,Pack 4 thermal anomaly
1.0.0,1900,2026-08-14-001,FOIL_002,49.992107,0.149920,0.187400,0.059787,2252.162829,24.007669,23.000069,22.054847,22.058435,21.998987,21.958102,21.956405,21.976614,22.000037,3867.298035,False,0.026083,-0.210529,0.983443,-11.119718,16.733128,10.742416,0.000087,0.004347,0,True,True,40.552404,-105.162797,0.299737,35.402319,2,IDLE,Pack 4 thermal anomaly
1.0.0,2000,2026-08-14-001,FOIL_002,49.991742,0.156846,0.196057,0.000376,-89.703471,24.008024,23.000072,22.058520,21.921315,21.937175,22.167335,22.035681,22.071251,22.000038,3844.113219,False,-0.064616,-0.043374,0.976840,-12.748542,-13.724692,12.936824,0.000091,0.004565,0,True,True,40.552404,-105.162797,0.000000,35.423490,2,IDLE,Pack 4 thermal anomaly
1.0.0,2100,2026-08-14-001,FOIL_002,49.990215,0.186035,0.232543,0.016584,244.479818,24.009493,23.000076,22.079710,22.143166,22.036729,21.953562,22.047250,21.973088,22.000041,3866.868853,False,0.319751,-0.083649,0.958679,6.256040,3.929533,9.277645,0.000096,0.004823,0,True,True,40.552404,-105.162797,0.033804,35.444661,2,IDLE,Pack 4 thermal anomaly
1.0.0,2200,2026-08-14-001,FOIL_002,49.992112,0.149595,0.186993,0.021879,2986.028732,24.007680,23.000080,21.908793,21.895055,21.980663,21.994442,21.877908,21.867028,22.000042,3889.776529,False,-0.230020,0.114702,0.919248,-19.813341,4.793115,-5.247204,0.000101,0.005031,0,True,True,40.552404,-105.162796,0.390531,35.465830,2,IDLE,Pack 4 thermal anomaly
1.0.0,2300,2026-08-14-001,FOIL_002,49.991234,0.166366,0.207958,0.021880,524.950652,24.008528,23.000083,21.983781,21.961758,22.015343,22.015365,22.160639,22.010461,22.000044,3891.278715,False,-0.139645,0.097015,1.137394,-5.489414,9.842922,15.811621,0.000105,0.005262,0,True,True,40.552404,-105.162796,0.082257,35.486999,2,IDLE,Pack 4 thermal anomaly
1.0.0,2400,2026-08-14-001,FOIL_002,49.991482,0.161539,0.201923,0.008235,596.250882,24.008295,23.000087,21.947481,21.966238,21.983070,22.006832,22.038675,21.934897,22.000046,3892.392561,False,0.074179,0.060750,1.364822,-14.076911,0.542022,2.859535,0.000110,0.005486,0,True,True,40.552404,-105.162796,0.104479,35.508168,2,IDLE,Pack 4 thermal anomaly
1.0.0,2500,2026-08-14-001,FOIL_002,49.990689,0.176668,0.220835,0.003177,166.407863,24.009061,23.000091,21.996803,22.100415,21.958972,22.089232,22.144303,22.042248,22.000048,3853.310489,False,0.319950,-0.177488,1.090953,-6.200932,-34.318939,3.791322,0.000115,0.005731,0,True,True,40.552404,-105.162796,0.000000,35.529335,2,IDLE,Pack 4 thermal anomaly
1.0.0,2600,2026-08-14-001,FOIL_002,49.991045,0.169753,0.212191,0.041542,2724.095498,24.008725,23.000094,22.018221,21.982665,22.015371,22.138971,22.027865,22.094970,22.000050,3850.457627,False,-0.002660,-0.141765,1.442057,3.805939,0.893996,-0.680762,0.000119,0.005967,0,True,True,40.552404,-105.162796,0.394403,35.550502,2,IDLE,Pack 4 thermal anomaly
1.0.0,2700,2026-08-14-001,FOIL_002,49.993238,0.127668,0.159585,0.035500,1955.819286,24.006629,23.000097,22.023990,21.830235,22.101903,22.015421,21.967272,21.841918,22.000052,3909.679443,False,0.069622,-0.262643,1.367331,4.736191,-0.125697,-16.544530,0.000123,0.006144,0,True,True,40.552405,-105.162796,0.257557,35.571669,2,IDLE,Pack 4 thermal anomaly
1.0.0,2800,2026-08-14-001,FOIL_002,49.990981,0.170863,0.213579,0.008075,54.800411,24.008797,23.000101,21.891562,22.062315,22.012759,22.139032,21.828475,22.062994,22.000054,3858.945577,False,0.359830,-0.125418,1.099569,12.792590,8.907529,-3.733676,0.000128,0.006382,0,True,True,40.552405,-105.162796,0.000000,35.592834,2,IDLE,Pack 4 thermal anomaly
1.0.0,2900,2026-08-14-001,FOIL_002,49.990674,0.176658,0.220823,0.000000,146.046532,24.009097,23.000105,22.019191,22.143498,21.920808,22.081323,21.910997,22.071458,22.000056,3853.753693,False,-0.175788,0.033479,0.962022,-4.734140,-13.445719,20.943026,0.000133,0.006627,0,True,True,40.552405,-105.162796,0.000000,35.613999,2,IDLE,Pack 4 thermal anomaly
1.0.0,3000,2026-08-14-001,FOIL_002,49.991352,0.163599,0.204498,0.000000,-176.102382,24.008453,23.000108,21.982939,22.151487,21.884185,22.132849,21.986004,21.945594,22.000058,3823.191234,False,0.008623,0.205775,0.681460,-4.430571,-14.604574,29.213030,0.000137,0.006854,0,True,True,40.552405,-105.162796,0.000000,35.635162,2,IDLE,Pack 4 thermal anomaly
1.0.0,3100,2026-08-14-001,FOIL_002,49.991032,0.169654,0.212068,0.000000,-119.308765,24.008765,23.000112,22.126615,22.020942,22.147391,22.192324,21.920784,22.070096,22.000060,3872.168534,False,0.094985,-0.069936,0.948131,39.889808,-3.079518,-4.003979,0.000142,0.007090,0,True,True,40.552405,-105.162796,0.000000,35.656325,2,IDLE,Pack 4 thermal anomaly
1.0.0,3200,2026-08-14-001,FOIL_002,49.990827,0.173499,0.216874,0.038210,2059.893722,24.008967,23.000116,22.158345,22.142044,21.926122,22.010270,22.044672,22.011301,22.000062,3886.892893,False,-0.106507,0.264977,1.049544,3.611624,0.956246,-0.716248,0.000147,0.007331,0,True,True,40.552405,-105.162796,0.257634,35.677487,2,IDLE,Pack 4 thermal anomaly
1.0.0,3300,2026-08-14-001,FOIL_002,49.992910,0.133515,0.166894,0.006273,505.904198,24.006976,23.000119,22.100861,22.100585,21.873316,21.989605,22.093989,21.984214,22.000063,3844.898168,False,0.081226,-0.095581,0.685362,5.939222,-45.293417,6.484771,0.000150,0.007516,0,True,True,40.552405,-105.162795,0.102389,35.698648,2,IDLE,Pack 4 thermal anomaly
1.0.0,3400,2026-08-14-001,FOIL_002,49.992034,0.150241,0.187801,0.046114,2531.813686,24.007820,23.000122,22.150157,21.906007,22.063595,22.225389,22.042422,22.064712,22.000065,3868.926640,False,-0.250574,-0.122611,0.922231,5.554989,24.461210,-11.785738,0.000155,0.007725,0,True,True,40.552405,-105.162795,0.379284,35.719808,2,IDLE,Pack 4 thermal anomaly
1.0.0,3500,2026-08-14-001,FOIL_002,49.991002,0.169955,0.212444,0.007255,906.205990,24.008815,23.000126,22.043355,21.968763,21.969124,22.039597,22.028745,21.981441,22.000067,3846.164954,False,0.304943,-0.049625,0.735380,8.308354,4.908708,13.591950,0.000159,0.007961,0,True,True,40.552405,-105.162795,0.081867,35.740967,2,IDLE,Pack 4 thermal anomaly
1.0.0,3600,2026-08-14-001,FOIL_002,49.989829,0.192351,0.240439,0.019917,990.807504,24.009945,23.000130,22.084150,21.929422,21.984260,22.254800,21.899911,21.994307,22.000069,3866.761209,False,0.050174,0.065082,1.186912,15.156506,-11.946261,-12.452639,0.000165,0.008228,0,True,True,40.552405,-105.162795,0.195912,35.762125,2,IDLE,Pack 4 thermal anomaly
1.0.0,3700,2026-08-14-001,FOIL_002,49.992532,0.140475,0.175593,0.014364,-265.717404,24.007360,23.000133,21.959073,22.036239,21.970280,22.111430,21.973849,21.894321,22.000071,3845.696538,False,0.134278,-0.256230,0.774046,-20.655570,-6.433770,6.083203,0.000168,0.008423,0,True,True,40.552405,-105.162795,0.000000,35.783282,2,IDLE,Pack 4 thermal anomaly
1.0.0,3800,2026-08-14-001,FOIL_002,49.991485,0.160471,0.200589,0.007487,187.984254,24.008368,23.000137,21.974608,21.900951,21.992789,22.015874,21.945310,21.954558,22.000073,3868.276713,False,0.027204,0.615413,0.961643,-33.703108,32.371415,-30.941915,0.000173,0.008646,0,True,True,40.552405,-105.162795,0.030160,35.804438,2,IDLE,Pack 4 thermal anomaly
1.0.0,3900,2026-08-14-001,FOIL_002,49.990685,0.175735,0.219669,0.053838,1660.345139,24.009141,23.000141,21.969158,22.091817,21.941888,22.195206,22.071663,22.022673,22.000075,3853.057083,False,-0.082688,0.188184,0.822564,-5.128755,-6.961826,7.698380,0.000178,0.008890,0,True,True,40.552406,-105.162795,0.261679,35.825593,2,IDLE,Pack 4 thermal anomaly
1.0.0,4000,2026-08-14-001,FOIL_002,49.991447,0.161041,0.201301,0.000000,140.759543,24.008416,23.000144,21.983483,22.081303,22.023905,22.175761,21.925806,22.023826,22.000077,3880.447462,False,0.125264,0.024499,0.919928,-27.477026,20.705777,-4.266379,0.000182,0.009113,0,True,True,40.552406,-105.162795,0.000000,35.846746,2,IDLE,Pack 4 thermal anomaly
1.0.0,4100,2026-08-14-001,FOIL_002,49.990939,0.170718,0.213398,0.042502,1821.403271,24.008909,23.000148,22.009476,21.990173,21.860598,22.140913,22.036340,21.970691,22.000079,3864.966401,False,0.020095,-0.263414,1.075813,-7.546677,-20.181370,19.312074,0.000187,0.009350,0,True,True,40.552406,-105.162795,0.245735,35.867899,2,IDLE,Pack 4 thermal anomaly
1.0.0,4200,2026-08-14-001,FOIL_002,49.991140,0.166778,0.208473,0.043229,876.275561,24.008721,23.000151,22.058737,22.046247,22.061086,22.184508,22.084389,21.954689,22.000081,3857.228849,False,0.044231,-0.104942,1.214100,-9.276132,10.687820,-39.674761,0.000192,0.009582,0,True,True,40.552406,-105.162795,0.175304,35.889050,2,IDLE,Pack 4 thermal anomaly
1.0.0,4300,2026-08-14-001,FOIL_002,49.992634,0.138074,0.172593,0.000000,-67.188618,24.007294,23.000155,22.112261,21.988965,22.016950,22.214999,21.909892,22.060695,22.000082,3889.082658,False,0.081614,0.042970,1.092773,-39.025112,-14.957030,3.952148,0.000196,0.009774,0,True,True,40.552406,-105.162795,0.000000,35.910200,2,IDLE,Pack 4 thermal anomaly
1.0.0,4400,2026-08-14-001,FOIL_002,49.991724,0.155463,0.194329,0.018594,1269.299001,24.008172,23.000158,21.998328,22.061009,22.099545,22.009574,21.902719,21.904171,22.000084,3848.669260,False,-0.046968,-0.013215,0.908282,-0.067897,19.893326,-24.803223,0.000200,0.009990,0,True,True,40.552406,-105.162794,0.175185,35.931349,2,IDLE,Pack 4 thermal anomaly
1.0.0,4500,2026-08-14-001,FOIL_002,49.991574,0.158257,0.197822,0.000000,-66.823912,24.008320,23.000161,21.868030,22.080119,21.986683,22.143839,22.048610,22.158819,22.000086,3879.319534,False,0.262285,-0.118886,0.796938,12.619075,29.056505,-25.508083,0.000204,0.010209,0,True,True,40.552406,-105.162794,0.000000,35.952496,2,IDLE,Pack 4 thermal anomaly
1.0.0,4600,2026-08-14-001,FOIL_002,49.991377,0.161977,0.202471,0.079756,4343.044278,24.008515,23.000165,22.005638,22.061512,21.887035,22.286261,21.960242,22.023739,22.000088,3855.177462,False,-0.036978,0.042936,0.941985,-5.089863,12.415949,13.268552,0.000209,0.010434,0,True,True,40.552406,-105.162794,0.651241,35.973642,2,IDLE,Pack 4 thermal anomaly
1.0.0,4700,2026-08-14-001,FOIL_002,49.991255,0.164234,0.205293,0.022628,1040.713729,24.008637,23.000169,22.067602,21.964075,22.002330,22.146427,22.028718,21.984057,22.000090,3871.431868,False,-0.226711,0.201433,1.213183,-22.908168,34.786479,-22.777160,0.000213,0.010662,0,True,True,40.552407,-105.162794,0.131652,35.994787,2,IDLE,Pack 4 thermal anomaly
1.0.0,4800,2026-08-14-001,FOIL_002,49.991422,0.160959,0.201198,0.031910,456.980148,24.008483,23.000172,22.144298,21.959185,22.032852,22.179210,22.004638,22.128345,22.000092,3848.058408,False,0.011192,-0.226960,0.916992,19.222388,-7.747252,-47.792124,0.000218,0.010886,0,True,True,40.552407,-105.162794,0.093013,36.015930,2,IDLE,Pack 4 thermal anomaly
1.0.0,4900,2026-08-14-001,FOIL_002,49.991941,0.150945,0.188682,0.036816,1217.385834,24.007990,23.000175,22.146532,21.938098,22.038935,22.055579,22.031245,21.938914,22.000094,3845.961102,False,0.081028,0.102123,1.008354,8.890186,-16.608079,9.902940,0.000222,0.011096,0,True,True,40.552407,-105.162794,0.194030,36.037072,2,IDLE,Pack 4 thermal anomaly
1.0.0,5000,2026-08-14-001,FOIL_002,49.990895,0.170920,0.213651,0.014625,413.289521,24.008998,23.000179,21.956121,21.966885,22.015241,22.034160,21.914881,22.023532,22.000096,3862.780158,False,-0.137878,0.092459,1.218626,12.500881,1.005956,-3.797797,0.000227,0.011333,0,True,True,40.552407,-105.162794,0.069886,36.058213,2,IDLE,Pack 4 thermal anomaly
1.0.0,5100,2026-08-14-001,FOIL_002,49.990206,0.184059,0.230074,0.033595,342.365101,24.009665,23.000183,22.041335,22.084154,21.971325,22.047797,22.007086,21.900678,22.000098,3857.985676,False,-0.157844,-0.352643,1.221579,8.804007,12.232336,-16.799888,0.000232,0.011589,0,True,True,40.552407,-105.162794,0.069212,36.079352,2,IDLE,Pack 4 thermal anomaly
1.0.0,5200,2026-08-14-001,FOIL_002,49.990966,0.169412,0.211764,0.040105,2680.961274,24.008943,23.000187,21.970059,21.834514,22.108875,22.143388,21.990393,22.143743,22.000100,3867.276123,False,0.073195,-0.175500,1.084532,10.673546,-22.012082,-17.572850,0.000237,0.011824,0,True,True,40.552407,-105.162793,0.389766,36.100490,2,IDLE,Pack 4 thermal anomaly
1.0.0,5300,2026-08-14-001,FOIL_002,49.991841,0.152570,0.190712,0.031581,2237.866767,24.008109,23.000190,21.918602,22.087391,22.011173,21.826688,21.996759,21.997812,22.000101,3869.614535,False,-0.027359,-0.116512,1.115502,-9.887503,-30.165037,17.027044,0.000241,0.012036,0,True,True,40.552407,-105.162793,0.306726,36.121626,2,IDLE,Pack 4 thermal anomaly
1.0.0,5400,2026-08-14-001,FOIL_002,49.991221,0.164382,0.205478,0.019457,2175.036006,24.008709,23.000194,22.141905,21.995654,22.071791,22.088919,22.077727,21.953683,22.000103,3879.753113,False,-0.141379,0.250606,1.224856,7.462422,-5.542605,14.661041,0.000245,0.012264,0,True,True,40.552408,-105.162793,0.321544,36.142760,2,IDLE,Pack 4 thermal anomaly
1.0.0,5500,2026-08-14-001,FOIL_002,49.991215,0.164411,0.205514,0.069295,2302.639427,24.008719,23.000197,21.858930,22.023232,21.961471,22.247962,21.956938,22.133353,22.000105,3861.950049,False,-0.238838,-0.003605,1.064550,-12.885364,-10.413815,2.887646,0.000250,0.012492,0,True,True,40.552408,-105.162793,0.366689,36.163893,2,IDLE,Pack 4 thermal anomaly
1.0.0,5600,2026-08-14-001,FOIL_002,49.992204,0.145392,0.181740,0.002951,39.584755,24.007777,23.000201,22.025461,21.904375,21.941081,22.191711,22.003304,22.148027,22.000107,3838.762421,False,0.066329,-0.187966,0.867880,4.850451,-9.915915,27.653517,0.000254,0.012694,0,True,True,40.552408,-105.162793,0.000000,36.185025,2,IDLE,Pack 4 thermal anomaly
1.0.0,5700,2026-08-14-001,FOIL_002,49.991554,0.157785,0.197232,0.000000,111.582877,24.008405,23.000204,22.032097,21.988068,22.019374,22.193837,21.990884,22.087579,22.000109,3870.869338,False,-0.240003,0.057960,1.481529,-6.672898,14.090815,8.008591,0.000258,0.012913,0,True,True,40.552408,-105.162793,0.000000,36.206154,2,IDLE,Pack 4 thermal anomaly
1.0.0,5800,2026-08-14-001,FOIL_002,49.991345,0.161711,0.202138,0.049818,2460.809282,24.008610,23.000208,22.051747,22.025270,22.012825,22.131834,22.001977,21.988788,22.000111,3853.538021,False,0.195086,0.093543,1.119459,-1.608399,12.978966,30.544532,0.000263,0.013138,0,True,True,40.552408,-105.162792,0.340952,36.227282,2,IDLE,Pack 4 thermal anomaly
1.0.0,5900,2026-08-14-001,FOIL_002,49.991342,0.161710,0.202138,0.062867,2345.631276,24.008619,23.000211,21.868927,21.937664,22.117763,22.166871,21.886294,22.002120,22.000113,3854.480808,False,-0.179206,-0.078196,1.093317,-28.135150,12.803743,47.643159,0.000267,0.013362,0,True,True,40.552408,-105.162792,0.370119,36.248409,2,IDLE,Pack 4 thermal anomaly
1.0.0,6000,2026-08-14-001,FOIL_002,49.991198,0.164401,0.205502,0.000000,-14.176998,24.008763,23.000215,22.092885,21.933539,21.946928,22.203640,22.030600,21.981900,22.000115,3869.085046,False,-0.279321,0.156486,0.911262,-23.792065,-37.413402,-16.979899,0.000272,0.013591,0,True,True,40.552408,-105.162792,0.000000,36.269533,2,IDLE,Pack 4 thermal anomaly
1.0.0,6100,2026-08-14-001,FOIL_002,49.991606,0.156500,0.195625,0.022070,81.072583,24.008377,23.000218,22.013136,22.045424,22.050540,21.980896,21.972886,22.038007,22.000116,3847.659616,False,0.132911,-0.039275,1.004735,-19.667863,-11.368326,-60.614228,0.000276,0.013808,0,True,True,40.552408,-105.162792,0.000000,36.290656,2,IDLE,Pack 4 thermal anomaly
1.0.0,6200,2026-08-14-001,FOIL_002,49.990812,0.171651,0.214564,0.042062,2279.807130,24.009143,23.000222,22.099284,21.980887,21.986020,22.150829,21.963560,21.993120,22.000118,3855.843265,False,-0.019216,0.137862,0.781020,-26.907242,16.872944,20.822028,0.000281,0.014046,0,True,True,40.552409,-105.162792,0.332301,36.311777,2,IDLE,Pack 4 thermal anomaly
1.0.0,6300,2026-08-14-001,FOIL_002,49.991950,0.149759,0.187199,0.037559,2684.854632,24.008058,23.000225,22.048195,22.133906,22.053110,22.083426,22.114113,22.103149,22.000120,3869.303953,False,-0.119614,0.021374,0.961572,1.544872,4.221272,-22.692028,0.000285,0.014254,0,True,True,40.552409,-105.162792,0.391850,36.332897,2,IDLE,Pack 4 thermal anomaly
1.0.0,6400,2026-08-14-001,FOIL_002,49.991934,0.150006,0.187508,0.007208,446.890788,24.008078,23.000229,21.977822,21.982102,22.167601,22.039933,21.894802,21.867737,22.000122,3850.066901,False,0.166112,0.263990,1.151782,-47.248825,5.795666,13.664508,0.000289,0.014463,0,True,True,40.552409,-105.162792,0.076148,36.354014,2,IDLE,Pack 4 thermal anomaly
1.0.0,6500,2026-08-14-001,FOIL_002,49.992147,0.145846,0.182307,0.031251,1581.071059,24.007878,23.000232,21.917577,21.925001,21.938036,22.163575,22.077815,22.155893,22.000124,3847.723641,False,-0.168313,-0.071151,0.804299,24.720543,26.153566,-7.160637,0.000293,0.014665,0,True,True,40.552409,-105.162791,0.213409,36.375129,2,IDLE,Pack 4 thermal anomaly
1.0.0,6600,2026-08-14-001,FOIL_002,49.991548,0.157262,0.196577,0.024652,577.514376,24.008458,23.000235,21.895787,22.006791,21.941477,22.104703,22.063674,22.030090,22.000125,3846.121739,False,-0.063703,0.112768,1.085238,4.603690,14.223880,-13.800332,0.000298,0.014884,0,True,True,40.552409,-105.162791,0.123730,36.396243,2,IDLE,Pack 4 thermal anomaly
1.0.0,6700,2026-08-14-001,FOIL_002,49.991018,0.167360,0.209200,0.023804,-88.870153,24.008972,23.000239,21.893719,22.030507,21.923330,22.177848,22.073780,22.104474,22.000127,3829.241320,False,-0.097218,-0.015366,0.843872,-1.360423,-20.610067,-14.658977,0.000302,0.015116,0,True,True,40.552409,-105.162791,0.000000,36.417355,2,IDLE,Pack 4 thermal anomaly
1.0.0,6800,2026-08-14-001,FOIL_002,49.991169,0.164389,0.205486,0.093156,4338.018002,24.008832,23.000243,22.007025,22.103085,22.055585,22.291668,22.074414,21.947962,22.000129,3894.223999,False,-0.043152,-0.163353,0.740468,22.885724,-9.816025,-2.165714,0.000307,0.015344,0,True,True,40.552410,-105.162791,0.629568,36.438464,2,IDLE,Pack 4 thermal anomaly
